PT,TM,HG
94953.0201,19.8825503,-5202.6931
94953.0201,20.1006711,-5017.9320
94953.0201,20.3187919,-4833.1241
94953.0201,20.5369128,-4648.2695
94953.0201,20.7550336,-4463.3681
94953.0201,20.9731544,-4278.4200
94953.0201,21.1912752,-4093.4252
94953.0201,21.4093960,-3908.3836
94953.0201,21.6275168,-3723.2953
94953.0201,21.8456376,-3538.1603
94953.0201,22.0637584,-3352.9786
94953.0201,22.2818792,-3167.7501
94953.0201,22.5000000,-2982.4750
94953.0201,22.7181208,-2797.1532
94953.0201,22.9362416,-2611.7847
94953.0201,23.1543624,-2426.3695
94953.0201,23.3724832,-2240.9076
94953.0201,23.5906040,-2055.3990
94953.0201,23.8087248,-1869.8438
94953.0201,24.0268456,-1684.2420
94953.0201,24.2449664,-1498.5935
94953.0201,24.4630872,-1312.8983
94953.0201,24.6812081,-1127.1565
94953.0201,24.8993289,-941.36810
94953.0201,25.1174497,-755.53306
94953.0201,25.3355705,-569.65140
94953.0201,25.5536913,-383.72314
